docid,volid,recordid,author,firstname,inferreddate,birthdate,authgender,enumcron,title,genre
13184,uiuo.ark+=13960=t0gt67j4p,,"Parker, Emma.",,1823,,f,v.3,Aretas,
13958,njp.32101067630259,,"Boyd, Archibald,",,1850,,m,v.1,"The Duchess; or, Woman's love and woman's hate",
10148,nyp.33433082353966,,,,1827,,u,,"In school and out of school, or, The history of William and John",
6731,mdp.39015065815535,,"Yonge, Charlotte M. (Charlotte Mary),",,1885,,f,v.2,Nuttie's father,
8618,njp.32101063606386,,"Cooper, James Fenimore,",,1839,,m,v.1,Precaution,
13790,uiuo.ark+=13960=t8bg37n8b,,"Mudford, William 1782-1848.",,1831,,m,v.1,The premier,
13791,uiuo.ark+=13960=t6737599r,,"(Catherine Grace Frances), Gore, Mrs.",,1840,,f,v.3,Preferment;,
6851,uc1.b261268,,"Hillern, Frau Wilhelmine (Birch) von,",,1870,,f,,Only a girl,
uc2.ark+=13960=t5gb21c7f,uc2.ark+=13960=t5gb21c7f,6510571,"(Angela Mary) Keyes, Angela M.",Angela M,1911,,f,,Stories and story-telling,
6053,nyp.33433082526124,,"M. Arnaud,",,1886,,f,,One day in a baby's life,
3970,nyp.33433074895057,,"Marshall, Emma,",,1889,,f,,"Laurel crowns; or, Griselda's aim",
14214,uiuo.ark+=13960=t3tt50h1f,,"Gascoigne, Caroline Leigh Smith,",,1847,,f,v.1,Evelyn Harcourt,
3216,uc2.ark+=13960=t9377bp68,,"Stretton, Hesba,",,1895,,m,,Highway of sorrow at the close of the nineteenth century,
14548,nc01.ark+=13960=t5hb0039z,,"(Mary Elizabeth), Braddon, M. E.",,1863,,f,v.2,Aurora Floyd,
uc2.ark+=13960=t8hd7pc52,uc2.ark+=13960=t8hd7pc52,7648738,"Montgomery, Louise,",Louise,1912,,f,,Mrs. Mahoney of the tenement,
6693,nyp.33433074863592,,"James, G. P. R. (George Payne Rainsford),",,1859,,m,,The Cavalier,
8128,nyp.33433074868542,,"Mrs. Hofland, (Barbara),",,1816,,f,v. 2,The affectionate brothers,
2692,uc2.ark+=13960=t80k28b7s,,"(Edward Waterman), Townsend, Edward W.",,1897,,m,,Near a whole city full,
15083,nyp.33433074874292,,"Lewis, M. G. (Matthew Gregory),",,1808,,m,v. 4,Romantic tales,
5769,nyp.33433082524178,,"Barnes, James,",,1897,,m,,Yankee ships and Yankee sailors:--Tales of 1812,
14117,uiuo.ark+=13960=t84j0rz88,,"Besant, Walter, Sir,",,1883,,m,v.1,All in a garden fair;,
14486,mdp.39015063751906,,"Banim, John,",,1831,,m,v.1,The smuggler;,
6597,uc1.b287350,,"Man, George F.",,1840,,m,,The geranium leaf;,
2662,njp.32101066134949,,"Brittan, Harriette G.,",,1869,,f,,"Kardoo, the Hindoo girl",
nyp.33433074968201,nyp.33433074968201,119791,"Diver, Maud,",Maud,1917,,f,,Unconquered;,
5854,nyp.33433075743207,,"Sir, Scott, Walter,",,1823,,m,v. 2,Ivanhoe;,
1965,nyp.33433074902705,,"Macneill, Hector,",,1812,,m,v. 1-2,The Scottish adventurers,
14498,mdp.39015014117744,,"Porter, Anna Maria,",,1822,,f,v.3,Roche-blanche;,
10740,nyp.33433084129729,,"Bamford, Mary E. (Mary Ellen)",,1888,,f,,Father Lambert's family,
13717,inu.32000002629717,,"Grant, James,",,1876,,m,v.1,Did she love him?,
2331,uc1.b4104577,,"Slosson, Annie Trumbull,",,1890,,f,,Seven dreamers,
14550,uc2.ark+=13960=t9862fm20,,"Boswell, James,",,1896,,m,v.04,Boswell's Life of Johnson,nonfic
6217,nyp.33433074815444,,"Burdett, Charles,",,1856,,m,,Three per cent a month,
nc01.ark+=13960=t7hq46z81,nc01.ark+=13960=t7hq46z81,10938618,"King, Cardenio Flournoy,",Cardenio Flournoy,1908,,u,,The light of four candles,
3134,nyp.33433073356812,,"Turgenev, Ivan Sergeevich,",,1869,,m,v. 1,Liza,
10609,wu.89104495718,,"Mrs. Thayer, J.,",,1847,,f,,"The vacation, or, Mrs. Stanley and her children",
nyp.33433076048655,nyp.33433076048655,8679268,"Webb, Virginia.",Virginia,1901,,f,,One American girl,
13071,loc.ark+=13960=t9f484j11,,"Louis, Charles E. [from old catalog]",,1885,,m,, La countess,
437,mdp.39015064003000,,"Mrs. Bray, (Anna Eliza),",,1815,,f,v.9,The novels and romances of Anna Eliza Bray,
3998,uc1.b3325752,,"Semple, Robert,",,1806,,m,v.1,"Charles Ellis, or, The friends",
2916,wu.89098020019,,"Denison, Mary A. (Mary Andrews),",,1887,,f,,The Talbury girls,
nyp.33433076046410,nyp.33433076046410,7675885,"Whitson, John Harvey,",John Harvey,1907,,m,,The castle of doubt,
14099,njp.32101067178572,,"Trollope, Frances Milton,",,1835,,f,vol.1,Tremordyn cliff,
uc2.ark+=13960=t9f47k16q,uc2.ark+=13960=t9f47k16q,7665842,"Lippmann, Julie Mathilde,",Julie Mathilde,1905,,f,,Del's debt,
1003,njp.32101063579377,,,,1831,,u,v.2,The turf,
13661,uiuo.ark+=13960=t5q81zg6k,,"Tinsley, Lily.",,1886,,f,v.2,In the ring,
nyp.33433076090186,nyp.33433076090186,8659505,"Leonard, Mary Finley,",Mary Finley,1917,,f,,The ways of Jane,
14264,uiuo.ark+=13960=t4wh3727f,,"Pigott, Harriet,",,1804,,f,v.2,"The pride of ancestry: or, Who is she?",
6786,inu.39000006031079,,"Dumas, Alexandre,",,1893,,m,v.9,[Romances],
11877,nyp.33433074810452,,"Chellis, Mary Dwinell.",,1879,,f,,From father to son,
1647,hvd.32044038429833,,"Ware, William,",,1838,,m,v.1-2,Probus,
12165,njp.32101064751637,,"Wall, D.",,1819,,u,,"Twenty years confinement, or, The Casimirs",
uc2.ark+=13960=t93777r3g,uc2.ark+=13960=t93777r3g,7673253,"Stock, Ralph,",Ralph,1922,,m,,South of the line,
1206,nc01.ark+=13960=t41r7dc3s,,"(William Chambers), Bartlett, W. C.",,1890,,u,,An idyl of war-times,
6633,uc2.ark+=13960=t21c1vd0j,,,,1861,,u,,Favourite fairy tales,
10559,mdp.39015001131930,,"Florian,",,1827,,m,,Eleazar and Naphtaly,
1671,nyp.33433074901996,,"Mitchell, Donald Grant,",,1851,,m,,Dream life,
14693,nyp.33433075743074,,"Sir, Scott, Walter,",,1815,,m,v. 3,Guy Mannering;,
10173,uiuo.ark+=13960=t1bk2141g,,,,1812,,u,v.1-2,"Substance and shadow; or, The fisherman's daughters of brighten",
8078,uc2.ark+=13960=t3126594x,,"(Bithia Mary), Croker, B. M.",,1887,,f,,A bird of passage,
8923,nyp.33433074828843,,"Bates, Lizzie.",,1869,,f,,"The gabled house, or, Self-sacrifice",
14699,uiuo.ark+=13960=t4pk1235x,,"Walker, George,",,1803,,m,v.3,Don Raphael,
937,nyp.33433067303838,,"Colman, George,",,1817,,m,v. 2,The history of Elsmere and Rosa;,
809,nyp.33433061821561,,"Croker, Thomas Crofton,",,1829,,m,v. 1,Legends of the lakes,
njp.32101064788548,njp.32101064788548,8921481,"De Blácam, Aodh,",Aodh,1919,,u,,The ship that sailed too soon and other stories,
6192,nyp.33433076071855,,"[Jones, James Athearn]",,1825,,m,v. 2,The refugee,
8196,nyp.33433075786123,,"Jenkin, C. (Camilla),",,1863,,f,,Who breaks-pays,
11414,mdp.39015011393140,,"Sedgwick, Catharine Maria,",,1835,,f,v.2,The Linwoods;,
14237,uc1.b250118,,,,1803,,u,v.1,Letters of Miss Riversdale,
13828,uiuo.ark+=13960=t8rb7mk8v,,"Norton, Caroline Sheridan,",,1868,,f,v.3,Old Sir Douglas,
11067,nyp.33433076071152,,"Goldsmith, Oliver,",,1825,,m,v. 3,The miscellaneous works of Oliver Goldsmith,
nyp.33433074846431,nyp.33433074846431,8658721,"Curtiss, Philip Everett,",Philip Everett,1915,,m,,The ladder,
14227,uiuo.ark+=13960=t6g16bg6q,,"Cuthbertson, Catherine.",,1814,,f,v.2,"Santo Sebastiano, or, The young protector",
4824,hvd.hwadb9,,"Sir, Scott, Walter,",,1829,,m,v.13,The Waverley novels,
629,nyp.33433074931241,,"Bullard, A. T. J. (Anne Tuttle Jones)",,1853,,u,,"Matrimony: or, Love affairs in our village twenty years ago",
11499,hvd.hwe9v6,,"Mrs. Bray, (Anna Eliza),",,1839,,f,v.2,Trials of the heart,
14686,uiuo.ark+=13960=t1vd7g25q,,"(Marmion Wilard), Savage, M. W.",,1852,,m,v.2,"Reuben Medlicott, or, The coming man",
uc2.ark+=13960=t1gh9c38r,uc2.ark+=13960=t1gh9c38r,7668453,"Craddock, Charles Egbert,",Charles Egbert,1906,,m,,The story of old Fort Loudon,
13504,uiuo.ark+=13960=t3tt50d2k,,"Fisher, Miss, novelist.",,1849,,f,v.3,Family failings,
6012,nyp.33433075729750,,"Edgeworth, Maria,",,1834,,f,v. 2,Helen,
nyp.33433082180534,nyp.33433082180534,8655158,"Thompson, Ruth.",Ruth,1922,,f,,Comrades of the desert,
loc.ark+=13960=t02z1st2p,loc.ark+=13960=t02z1st2p,9581990,"Addison, Joseph,",Joseph,1900,,m,,Sir Roger de Coverley,
9978,mdp.39015064001673,,"Defoe, Daniel,",,1840,,m,v.7,The novels and miscellaneous works,
14242,uiuo.ark+=13960=t09w0s33v,,"Broughton, Rhoda,",,1872,,f,v.3," Good-bye, Sweetheart!",
9957,mdp.39015030197704,,"Mühlbach, L. (Luise),",,1886,,f,,Goethe and Schiller,
13265,uiuo.ark+=13960=t7qn6n28p,,"Kelly, Isabella,",,1813,,f,v.4,"Jane de Dunstanville, or, Characters as they are",
13993,uiuo.ark+=13960=t7zk5x86t,,"(George Payne Rainsford), James, G. P. R.",,1848,,m,v.3,"Beauchamp: or, The error",
12055,uc2.ark+=13960=t4th8qw59,,"Everett-Green, Evelyn,",,1898,,f,,A clerk of Oxford,
15079,uiuo.ark+=13960=t5gb2n32w,,"(Mary Elizabeth), Braddon, M. E.",,1883,,f,v.3,The golden calf,
1168,uiuo.ark+=13960=t6834466q,,"Cornish, Miss.",,1857,,f,v.2,Northwode priory,
11248,njp.32101074759737,,"""Mrs. Cornwell Baron-Wilson,"", Wilson, Margaret Harries Baron,",,1839,,f,vol. 2,"Memoirs of Harriot, duchess of St. Albans",nonfic
2382,mdp.39015063923901,,"Housman, Clemence.",,1896,,f,,The were-wolf;,genre
7465,nyp.33433082289871,,"A. L. O. E.,",,1861,,f,,"The giant killer, or, The battle which all must fight",
699,njp.32101068175445,,"Byrne, Mary",,1874,,f,vol.2,Ingram Place. A novel,
mdp.39015004946813,mdp.39015004946813,587666,"Burroughs, John,",John,1922,,m,,John Burroughs talks,nonfic
7094,njp.32101068140746,,"Holmes, Oliver Wendell,",,1885,,m,,A mortal antipathy;,
uc2.ark+=13960=t3cz39j92,uc2.ark+=13960=t3cz39j92,6131614,"Watts, Mary Stanbery,",Mary Stanbery,1908,,f,,The tenants,
2406,njp.32101067640910,,,,1814,,u,,Things by their right names;,
uva.x030833208,uva.x030833208,7662109,"Henry, O.,",O,1910,,m,,Strictly business,
5788,nyp.33433074866678,,"Kingston, William Henry Giles,",,1872,,m,,Count Ulrich of Lindburg,
14323,uc1.b250217,,"Marsh-Caldwell, Anne,",,1849,,f,v. 1,"Mordaunt hall; or, A September night",
4300,njp.32101067629343,,"Barrie, J. M. (James Matthew),",,1893,,m,,Two of them,
uc2.ark+=13960=t7dr2q88x,uc2.ark+=13960=t7dr2q88x,7665746,"Miller, Harriet Mann,",Harriet Mann,1904,,f,,Kristy's queer Christmas,
14256,uiuo.ark+=13960=t9s18mq71,,"Sutherland, Alexander, Lieutenant.",,1823,,m,v.4,Macrimmon,
4101,nyp.33433074909916,,"Defoe, Daniel,",,1809,,m,v. 2,Memoirs of a cavalier,
8695,mdp.39015059375942,,"Bynner, Edwin Lassetter,",,1881,,m,,Damen's ghost,
13264,uiuo.ark+=13960=t9d517v44,,,,1890,,u,v.3,The rajah's heir,
14627,nyp.33433074875935,,"MacDonald, George,",,1863,,m,v. 1,David Elginbrod,
4434,uiuo.ark+=13960=t3pv74d80,,"Siddons, Henry,",,1804,,m,v.2,Virtuous poverty,
8076,uiuo.ark+=13960=t5p84ks3f,,,,1852,,u,v.3,Clara Harrington,
13670,uiuo.ark+=13960=t49p39n8t,,"Ashe, Thomas,",,1811,,m,v.1,"The spirit of  The book;  or, Memoirs of Caroline Princess of Hasburgh",
14,nyp.33433067303937,,"Roche, Regina Maria,",,1807,,f,v. 1,"The discarded son; or, Haunt of the banditti",
2600,nc01.ark+=13960=t89g62h7t,,"Cobb, Cyrus,",,1870,,m,,The veteran of the Grand Army,
uva.x030801560,uva.x030801560,9776321,"Savile, Frank (Frank Mackenzie)",Frank,1911,,m,,The road;,
14591,uiuo.ark+=13960=t2m62333s,,"Jennings, Louis John,",,1891,,m,v.2,The Philadelphian,
14588,uc1.b3325430,,"Edgeworth, Maria,",,1817,,f,v. 1,Harrington,
mdp.39015034032949,mdp.39015034032949,2976797,"Marx, Magdeleine.",Magdeleine,1921,,u,,You,
13087,uiuo.ark+=13960=t6d22977v,,"Ellis, Sarah Stickney,",,1846,,f,v.1,Temper and temperament;,
13457,uiuo.ark+=13960=t85h8434p,,"Parker, Emma,",,1815,,f,v.2,The guerrilla chief,
14152,uiuo.ark+=13960=t0zp4pz92,,"Young, Mary Julia.",,1803,,f,v.4,"Right and wrong; or, The kinsmen of Naples",
1817,uiuo.ark+=13960=t0pr85z1q,,"Grey, Herbert.",,1859,,m,v.2,The three paths,
4472,njp.32101042589984,,"Reynolds, George W. M. (George William MacArthur),",,1845,,m,,Robert Macaire in England,
14287,uiuo.ark+=13960=t1jh3wp5g,,"Curling, Henry,",,1846,,m,v.3,John of England,
15031,uiuo.ark+=13960=t19k4wg1r,,"Merrywhistle, Marmaduke.",,1822,,m,v.1,Isn't it odd?,
7208,uiuo.ark+=13960=t9w09nn61,,"Palmer, John, 1742?-1798.",,1811,,m,v.1,Like master like man,
11616,wu.89015570211,,"Balzac, Honoré de,",,1899,,m,12,The novels of Balzac,
loc.ark+=13960=t55d93j72,loc.ark+=13960=t55d93j72,11211989,"Haynes, Williams,",Williams,1916,,m,,Sandhill sketches,
14972,uiuo.ark+=13960=t13n2p06g,,"(John Kirkwood), Leys, John K.",,1888,,m,v.3,The Lindsays,
5644,hvd.32044019953504,,"Mant, Alicia Catherine,",,1822,,f,,The cottage in the chalk-pit,
14188,uiuo.ark+=13960=t5t732x5h,,"Yates, Edmund Hodgson,",,1867,,m,v.1,The forlorn hope,
13286,uiuo.ark+=13960=t0ms47n5n,,"M'Donogh, Felix,",,1824,,m,v.3,The highlanders,
5643,njp.32101068163946,,,,1802,,u,,"The monk of the grotto; or, Eugenio and Virginia;",
13877,njp.32101068601986,,"Reynolds, George W. M. (George William MacArthur),",,1850,,m,v.3,The mysteries of the court of London,
uc2.ark+=13960=t8jd4rr6g,uc2.ark+=13960=t8jd4rr6g,7659799,"French, Allen,",Allen,1901,,m,,The colonials;,
5475,njp.32101068972270,,"Lamas, Maria.",,1849,,f,,The glass,
13847,mdp.39015065769419,,"Surr, T. S. (Thomas Skinner),",,1801,,m,v.1,Splendid misery,
loc.ark+=13960=t6d22gz0z,loc.ark+=13960=t6d22gz0z,9584746,"Hauser, Magdalena. [from old catalog]",Magdalena. [from old catalog],1900,,f,,The punishment of Dirce,
nyp.33433079897850,nyp.33433079897850,8658946,"Billings, Edith S.",Edith S,1917,,f,,Cleomenes,
9320,njp.32101066455500,,"Bowdler, H. M. (Henrietta Maria),",,1830,,u,,"Pen Tamar, or, The history of an old maid",
nyp.33433075741912,nyp.33433075741912,8667588,"Rhys, Grace Little,",Grace Little,1901,,f,,The wooing of Sheila,
2226,mdp.39015063549417,,"Goodwin, Maud Wilder,",,1896,,f,,White aprons,
12021,nyp.33433074862743,,"Mrs., Hall, S. C.,",,1835,,f,,Tales of woman's trials,
13712,mdp.39015058488787,,"Cooper, James Fenimore,",,1829,,m,v.3,The borderers,
9989,mdp.39015010787490,,"L. E. L. (Letitia Elizabeth Landon),",,1832,,f,v.1-2,Romance and reality,
uc1.$b473424,uc1.$b473424,7648250,"Kreutz, Rudolf Jeremias,",Rudolf Jeremias,1919,,m,,Captain Zillner; a human document,
2287,uc1.b3324273,,"Scotus, Johannes.",,1862,,m,v. 2,The weird of the Wentworths;,
14914,uiuo.ark+=13960=t6b28f15h,,"Murray, Hugh,",,1814,,m,v.2,"Corasmin; or, The minister;",
14229,uiuo.ark+=13960=t6h13cz91,,"Fenn, George Manville,",,1871,,m,v.2,The sapphire cross,
14138,uiuo.ark+=13960=t6zw21w1d,,"Payn, James,",,1878,,m,v.1,Less black than we're painted,
933,nyp.33433034410336,,"Montgomery, Florence,",,1882,,f,,Misunderstood,
13834,mdp.39015059415599,,"James, G. P. R. (George Payne Rainsford),",,1830,,m,v.1,"Darnley; or, the field of the cloth of gold",
7626,loc.ark+=13960=t4mk6wk2z,,"Cromwell, Ruth Natalie.",,1864,,f,,Nancy Blake letters to a western cousin,
nyp.33433075757942,nyp.33433075757942,8670556,"Welles, Charles Stuart.",Charles Stuart,1901,,m,,The Ellwoods,
4516,nyp.33433074892609,,"Mason, E. M. (Emily Margaret)",,1897,,f,,Panacea,
11792,nyp.33433076021645,,"Stephens, Ann S. (Ann Sophia),",,1863,,f,,The rejected wife,
14218,uiuo.ark+=13960=t18k7zc9x,,,,1873,,u,v.3,Ravensdale,
12061,njp.32101068178688,,"Herbert, Henry William,",,1853,,m,,The chevaliers of France,
uc2.ark+=13960=t7np2140g,uc2.ark+=13960=t7np2140g,7690867,"Moffat, Henry Y.",Henry Y,1911,,m,,From ship's-boy to skipper; with variations,
13900,uiuo.ark+=13960=t6b28444n,,,,1881,,u,v.3,Amat,
3940,njp.32101067629970,,"Mrs. Bray, (Anna Eliza),",,1884,,f,,Courtenay of Walreddon,
14126,uiuo.ark+=13960=t9g45bv5n,,"Reade, Charles,",,1871,,m,v.1,A terrible temptation,
832,nyp.33433075808000,,,,1809,,m,v. 1,The Child of thirty-six fathers,
14369,uc1.b3321187,,"Boyd, Archibald.",,1856,,m,v.1,The crown ward,
wu.89099785826,wu.89099785826,9187146,"Scott, R. T. M. (Reginald Thomas Maitland),",R. T. M. Reginald Thomas Maitland,1927,1887,m,,Aurelius Smith-detective.,genre
mdp.39015031224499,mdp.39015031224499,743546,"Bennett, John.",John,1975,1935,m,,Anarchistic murmurs from a high mountain valley / | $c: John Bennett.,nonfic
uc1.$b63787,uc1.$b63787,6580091,"Skidmore, Hubert,",Hubert,1938,1909,m,,Heaven came so near.,
mdp.39015062631851,mdp.39015062631851,5093198,"Bacho, Peter.",Peter,2005,1965,m,,Entrys / | $c: Peter Bacho.,
mdp.39015018950736,mdp.39015018950736,2204498,"Ames, Jonathan.",Jonathan,1989,1949,m,,I pass like night / | $c: Jonathan Ames.,
mdp.39015082389373,mdp.39015082389373,1025073,"Behan, Brendan.",Brendan,1963,1923,m,,Hold your hour and have another. | $c: Decorations by Beatrice Behan.,
mdp.39015002337742,mdp.39015002337742,1185265,"Pa, Chin,",Chin,1972,1932,m,,Family | $c: [by] Pa Chin. Introd. by Olga Lang.,
mdp.39015057604582,mdp.39015057604582,3884200,"Coker, Rita Akoto.",Rita Akoto,2001,1961,f,,Serwah : | the saga of an African princess / | $c: Rita Akoto Coker.,
mdp.39015002717034,mdp.39015002717034,1377300,"Richie, Donald,",Donald,1968,1928,m,,Companions of the holiday; | a novel.,
wu.89100006006,wu.89100006006,810486,"Aldor, Francis.",Francis,1940,1900,m,,"Germany's ""death space"" : | the Polish tragedy.",nonfic
mdp.39015030375557,mdp.39015030375557,1796394,"Gourmont, Remy de,",Remy de,1925,1858,u,,"A virgin heart; | a novel, | $c: by Remy de Gourmont, authorized translation by Aldous Huxley.",
mdp.39015002713280,mdp.39015002713280,1377011,"Quin, Ann,",Ann,1969,1936,f,,Passages : | a novel.,
mdp.39015002583386,mdp.39015002583386,671092,"Naughton, Bill.",Bill,1970,1930,m,,Alfie darling; | a novel.,
