date,firstpub,author,title,htid,inhathi,gender
1955,1955,"Halliday, Brett",She Woke to Darkness,,n,m
1955,1955,"Heckelman, Charles newman",Bullet Law,,n,m
1955,1955,"Hayes, Joseph Arnold",The Desperate Hours,mdp.39015016415427,y,m
1920,1920,"Allison, William",A Secret of the Sea,nyp.33433112047356,y,m
1920,1918,"Bower, B. M.",Cabin Fever,aeu.ark:/13960/t8bg3zr2g,y,f
1920,1920,"Brighouse, Harold",The Marbeck Inn,nyp.33433074930201,y,m
1920,1920,"Brooks, Charles Stephen",Luca Sarto,nyp.33433074808605,y,m
1920,1919,"Brunner, Ethel",Celia and Her Friends,nyp.33433112045533,y,f
1920,1920,"Forman, Henry James",Fire of Youth,osu.32435018458067,y,m
1920,1913,"Green, Anna Katharine",Room Number 3,uc2.ark:/13960/t3222sk2s,y,f
1920,1919,"Hewlett, Maurice Henry",The Outlaw,osu.32435005377692,y,m
1920,1919,"Hutten zum Stolzenberg, Bettina Riddle, Baroness",Happy House,nyp.33433074871967,y,f
1920,1920,"Irwin, Florence",Poor dear Theodora!,nyp.33433076087927,y,f
1920,1919,"Judson, Jeanne",Beckoning Roads,nyp.33433076067945,y,f
1920,1914,"McKenna, Stephen",Shelia Intervenes,osu.32435010757607,y,m
1920,1919,"Onions, Berta Ruck",Sweethearts Unmet,nyp.33433075731756,y,f
1920,1918,"Onions, Berta Ruck",The Years for Rachel,nyp.33433112050764,y,f
1920,1917,"Oppenheim, Edward Phillips",The Cinema Murder,nyp.33433074961289,y,m
1920,1918,"Orczy, Baroness Emmuska",The Man in Grey,mdp.39015039644995,y,f
1920,1918,"Packard, Frank Lucius",The Wire Devils,mdp.39015056725909,y,m
1920,1920,"Payne, Will",The Scarred Chin,wu.89099767261,y,m
1920,1917,"Reynolds, Gertrude M. Robins",A Castle to Let,nyp.33433075741862,y,f
1920,1920,"Rickard, L.",Cathy Rossiter,umn.31951002079657t,y,f
1920,1919,"Schuster, Otto John",The Treasures of Mayville,nyp.33433076044217,y,m
1920,1914,"Service, Robert William",The Pretender,hvd.hnjupy,y,m
1920,1920,"Singmaster, Elsie",Basil Everman,nyp.33433076039530,y,f
1920,1920,"Spears, Raymond Smiley",Diamond Tolls,nyp.33433112012533,y,m
1920,1920,"Turner, John Hastings",A Place in the World,nyp.33433075756688,y,m
1920,1918,"Williams, Valentine",The Man with the Club Foot,nyp.33433075768204,y,m
1920,1918,"Bowen, Marjorie",The Burning Glass,uiug.30112041413169,y,f
1920,1920,"Chamberlain, George Agnew",Taxi; an adventure romance,njp.32101066454339,y,m
1920,1920,"Farrell, John Rupert",A Change of Opinion,osu.32435017719360,y,m
1920,1919,"Hinkson, Katharine Tynan",The Love of Brothers,nyp.33433074877733,y,f
1920,1920,"Lowenberg, Mrs. I.",The Voices,nyp.33433076075781,y,f
1920,1919,"MacNamara, Brinsley",The Clanking of Chains: A Story of Sinn Fein,uc2.ark:/13960/t9b56f61x,y,m
1920,1920,"Phillpotts, Eden",Miser?s Money,nyp.33433075766844,y,m
1920,1913,"Van Vorst, Marie",Fairfax and His Pride,hvd.hn1mif,y,f
1920,1919,"Wallace, Edgar",Green Rust,uc2.ark:/13960/t18k76m0m,y,m
1920,1920,"Watson, E. L. Grant",Deliverance,nyp.33433074866058,y,m
1920,1920,"Weyl, Maurice",The Happy Woman,nyp.33433076079098,y,m
1920,1920,"Woodworth, Herbert G.",In the Shadow of Lantern Street,uc2.ark:/13960/t3dz04r6d,y,m
1920,1920,"Barton, George",The Pembroke Mason Affair,nyp.33433084128929,y,m
1920,1920,"Boucicault, Ruth Baldwin Holt",The Rose of Jericho,nyp.33433076066319,y,f
1920,1920,"Dorrance, Mrs. Ethel Arnold Smith | Dorrance, James French",Glory Rides the Range,nyp.33433074862321,y,u
1920,1920,"Evarts, Hal G.",The Cross Pull,nyp.33433074847868,y,m
1920,1920,"Flatt, Annie McCallum",The Dawn of a New Era,,n,f
1920,1920,"Gray, Joslyn",Fireweed,nyp.33433074859368,y,u
1920,1920,"Hendryx, James Beardsley",The Gold Girl,nyp.33433076079643,y,m
1920,1919,"Humphreys, Mrs. Desmond",Diana of the Ephesians,nyp.33433074869722,y,f
1920,1919,"Oyen, Henry",The Plunderer,nyp.33433076043748,y,m
1920,1920,"Parrish, Randall",The Mystery of the Silver Dagger,osu.32435017803024,y,m
1920,1920,"Pedler, Margaret",The Hermit of Far End,nyp.33433075765796,y,f
1920,1919,"Phillpotts, Eden",Evander,uc2.ark:/13960/t5n876455,y,m
1920,1918,"Sadler, Michael",The Anchor a Love Story,nyp.33433112049253,y,m
1920,1919,"Sidgwick, Cecily Ullmann",Iron Cousins,nyp.33433075744015,y,f
1920,1920,"Smith, Gordon Smith",The Pagan,nyp.33433076026057,y,m
1920,1920,"Sousa, John Philip",The Transit of Venus,nyp.33433076022072,y,m
1920,1919,"Major, Tank",Tank Tales,,n,u
1920,1920,"Thompson, Frank",The Transgressor,osu.32435017724972,y,m
1920,1920,"Wilson, May",The Forging of the Pikes,aeu.ark:/13960/t9f49kh8q,y,f
1920,1920,"Allen, Alice E.",Marjory at the Willows,,n,u
1920,1919,"Bailey, Henry Christopher",Barry Leroy,nyp.33433074920764,y,m
1920,1913,"Barclay, Florence Louisa Charlesworth",The Broken Halo,njp.32101064787144,y,f
