mdp.39015022622859,none
mdp.39015022685591,none
nyp.33433076048606,none
mdp.39015010950064,none
mdp.39015059406283,none
uc1.b3144349,none
mdp.39015059435704,none
uc1.b3327198,none
mdp.39015059414212,none
mdp.39015020077254,none
mdp.39015059427495,none
mdp.39015059423437,none
mdp.39015063942745,none
mdp.39015009224133,none
mdp.39015063973732,none
mdp.39015016769575,none
mdp.39015063964608,none
mdp.39015031657078,none
mdp.39015063964590,none
mdp.39015063973534,none
nyp.33433075768071,none
uc1.b3550227,none
mdp.39015063962891,none
mdp.39015055051919,none
mdp.39015034613136,none
mdp.39015063958972,none
nyp.33433082290549,none
mdp.39015063949757,none
mdp.39015063950227,none
mdp.39015063950235,none
mdp.39015063949963,none
mdp.39015063949971,none
mdp.39015063950003,none
mdp.39015063974680,none
mdp.39015014845419,none
mdp.39015059435787,none
mdp.39015003669440,none
nyp.33433066625751,none
nyp.33433082527171,none
mdp.39015027815458,none
mdp.39015047631851,none
mdp.39015070528636,none
mdp.39015059418510,none
mdp.39015058640536,none
mdp.39015059387814,none
njp.32101063691388,none
nyp.33433076090525,none
nyp.33433062139336,none
nyp.33433075905814,none
mdp.39015063536323,none
mdp.39015063915659,none
mdp.39015020086214,none
nyp.33433076058779,none
mdp.39015063947389,none
mdp.39015063759685,none
nyp.33433076024235,none
mdp.39015063523719,none
mdp.39015063953825,none
nyp.33433076053598,none
mdp.39015010783028,none
nyp.33433076053846,none
mdp.39015063950045,none
uc1.$b802895,none
mdp.39015002717778,none
mdp.39015065447610,none
mdp.39015063735610,none
mdp.39015067966948,none
mdp.39015063925575,none
mdp.39015063925583,none
nyp.33433076048267,none
mdp.39015030760980,none
uc1.$b753574,none
mdp.39015059484678,none
nyp.33433082172010,none
mdp.39015064375440,none
mdp.39015073494380,none
mdp.39015008425590,none
mdp.39015012355502,none
nyp.33433074878954,none
mdp.39015063942349,none
mdp.39015063940376,none
uc1.b3581484,none
mdp.39015063942414,none
mdp.39015018022882,none
mdp.39015063942372,none
nyp.33433076024474,none
mdp.39015063942539,none
mdp.39015063938958,none
mdp.39015022624954,none
mdp.39015063939022,none
mdp.39015063939030,none
mdp.39015021067031,none
nyp.33433076081961,none
nyp.33433074875158,none
mdp.39015063947918,none
mdp.39015012333046,none
uc1.b3326155,none
mdp.39015063949823,none
mdp.39015063945581,none
mdp.39015018288830,genre
nyp.33433074910872,none
mdp.39015063944303,none
mdp.39015063936523,none
uc1.b4102074,none
mdp.39015021275840,none
nyp.33433076023146,none
mdp.39015063517299,none
mdp.39015063740347,none
mdp.39015063740461,none
njp.32101063579674,none
mdp.39015063740677,none
mdp.39015063740669,none
nyp.33433082170287,none
mdp.39015006984754,none
mdp.39015063739802,none
mdp.39015016768122,none
nyp.33433082174610,none
mdp.39015063739968,none
mdp.39015063947140,none
nyp.33433076059843,none
mdp.39015063936341,none
uc1.b3727243,none
mdp.39015063946209,none
nyp.33433075874804,none
mdp.39015063946787,none
mdp.39015063946639,none
mdp.39015063946779,none
mdp.39015063918984,none
mdp.39015063948627,none
mdp.39015063925815,none
nyp.33433076049984,none
mdp.39015014104767,none
mdp.39015018048077,none
wu.89098869449,none
uc1.b4104220,none
mdp.39015028183864,none
uc1.b4104222,none
mdp.39015063943743,none
mdp.39015023145207,none
mdp.39015063552205,none
mdp.39015063550886,none
mdp.39015063930922,none
mdp.39015010962861,none
uc1.b3562026,none
nyp.33433082251830,none
mdp.39015063753647,none
nyp.33433076067259,none
nyp.33433076067192,none
nyp.33433076068604,none
mdp.39015063553468,none
mdp.39015063943693,none
mdp.39015063931318,none
mdp.39015063943677,none
mdp.39015063924297,none
mdp.39015063920238,none
nyp.33433082539374,none
mdp.39015011422915,none
mdp.39015063548625,none
mdp.39015063550928,none
mdp.39015024465455,none
mdp.39015018001159,none
mdp.39015031385977,none
mdp.39015021310514,none
mdp.39015063551256,none
mdp.39015063551454,none
mdp.39015063551298,none
mdp.39015063934726,none
mdp.39015063550449,none
uc1.b3578715,none
mdp.39015063919388,none
mdp.39015063918943,none
uc1.b3578716,none
mdp.39015063919008,none
mdp.39015063919032,none
uva.x004060808,none
mdp.39015027213332,none
mdp.39015063919206,none
mdp.39015065780929,none
mdp.39015063918935,none
mdp.39015063919115,none
mdp.39015063941598,none
uc1.b4512699,none
mdp.39015068423402,none
mdp.39015063941507,none
mdp.39015065441449,none
mdp.39015063934452,none
mdp.39015063934270,none
mdp.39015063934221,none
mdp.39015023145231,none
mdp.39015023170247,none
nyp.33433076024847,none
mdp.39015011956490,none
mdp.39015063934395,none
mdp.39015027938516,none
mdp.39015063937828,none
nyp.33433074787866,none
nyp.33433074901715,none
mdp.39015063944212,none
mdp.39015063945094,none
nyp.33433074901707,none
mdp.39015063553492,none
njp.32101067937597,none
mdp.39015063513942,none
mdp.39015004288315,none
mdp.39015005003275,none
mdp.39015063759784,none
nyp.33433075749428,none
nyp.33433076050487,none
nyp.33433076060064,none
mdp.39015006954013,none
mdp.39015063946043,none
mdp.39015063994324,none
mdp.39015035838203,none
mdp.39015063946332,none
nyp.33433074846415,none
mdp.39015063977568,none
mdp.39015063977576,none
mdp.39015065653928,none
uc1.b3331855,none
nyp.33433076045669,none
mdp.39015020087857,none
mdp.39015063774890,none
wu.89000601898,none
uc1.b4499235,none
mdp.39015007945523,none
mdp.39015011329896,none
mdp.39015067085475,genre
mdp.39015000542756,none
mdp.39015028686429,none
nyp.33433081693859,none
mdp.39015005338812,none
mdp.39015063933850,none
mdp.39015063933876,none
mdp.39015065780507,none
mdp.39015023179024,none
mdp.39015023453536,none
nyp.33433076076235,none
mdp.39015026279771,none
mdp.39015063524105,none
mdp.39015012336619,none
mdp.39015063521291,none
nyp.33433074940119,none
mdp.39015063943172,none
mdp.39015023072096,none
nyp.33433074972427,none
nyp.33433076066426,none
mdp.39015063510955,none
mdp.39015063541950,none
mdp.39015063980695,none
nyp.33433082173596,none
mdp.39015063550423,none
mdp.39015063524329,none
mdp.39015063919073,none
mdp.39015063521416,none
mdp.39015073303292,none
nyp.33433074835871,none
mdp.39015063542420,none
mdp.39015063523057,none
nyp.33433074848627,none
mdp.39015063548260,none
mdp.39015063540275,none
nyp.33433074833728,none
mdp.39015063914876,none
mdp.39015019922320,none
mdp.39015063511193,none
mdp.39015063516788,none
nyp.33433074930490,none
uc1.b4098201,none
uc1.b3144890,none
mdp.39015063517166,none
mdp.39015020241967,none
mdp.39015063517158,none
mdp.39015063543527,none
mdp.39015063516960,none
mdp.39015063602612,none
nyp.33433074790258,none
nyp.33433074835707,none
njp.32101064786856,none
nyp.33433074936836,none
nyp.33433074828132,none
mdp.39015063915667,none
mdp.39015063915626,none
mdp.39015063542032,none
mdp.39015063542008,none
nyp.33433074835814,none
nyp.33433074809819,none
mdp.39015049418992,none
nyp.33433074935051,none
mdp.39015063511037,none
nyp.33433074935150,none
nyp.33433074805114,none
mdp.39015063511144,none
nyp.33433075820328,none
nyp.33433074941836,none
mdp.39015063524956,none
nyp.33433074941802,none
mdp.39015063524980,none
mdp.39015063525003,none
mdp.39015063524998,none
nyp.33433074810346,none
mdp.39015021275899,none
mdp.39015063930534,none
nyp.33433082525860,none
wu.89095151676,none
mdp.39015030198629,none
mdp.39015026764079,none
mdp.39015028093717,none
nyp.33433084130305,none
mdp.39015063512795,none
mdp.39015063753456,none
mdp.39015059673411,none
mdp.39015026757057,none
nyp.33433076024250,none
mdp.39015063941622,none
wu.89098013634,none
mdp.39015063512688,none
mdp.39015020093954,none
mdp.39015063512522,none
nyp.33433076081128,none
mdp.39015063947868,none
mdp.39015063512647,none
uc1.b3476889,none
mdp.39015063915220,none
mdp.39015063542503,none
mdp.39015020213032,none
nyp.33433074836119,none
mdp.39015063917846,none
mdp.39015063917861,none
nyp.33433074958475,none
mdp.39015063941861,none
nyp.33433074840509,none
mdp.39015063942018,none
mdp.39015063972379,none
mdp.39015063546165,none
mdp.39015024236914,none
mdp.39015063932035,none
mdp.39015063546512,none
mdp.39015063546405,none
mdp.39015063546272,none
nyp.33433074958434,none
nyp.33433074958442,none
mdp.39015063931664,none
mdp.39015063931524,none
mdp.39015063546371,none
mdp.39015063546363,none
mdp.39015016736376,none
mdp.39015007000402,none
mdp.39015007000428,none
mdp.39015068383721,none
mdp.39015030461993,none
mdp.39015008425301,none
nyp.33433074840699,none
uc1.b3687303,none
mdp.39015063544459,none
mdp.39015063544830,none
mdp.39015063544525,none
mdp.39015031457297,none
mdp.39015033505945,none
uc1.b4102138,none
mdp.39015063956760,none
mdp.39015070223444,none
nyp.33433076080542,none
mdp.39015059434830,none
mdp.39015063512746,none
nyp.33433074817259,none
nyp.33433074817010,none
mdp.39015063930161,none
nyp.33433076088917,none
mdp.39015063930195,none
mdp.39015063946001,none
nyp.33433076049505,none
mdp.39015010946021,none
mdp.39015063946134,none
mdp.39015063945987,none
uc1.b4103058,none
mdp.39015063946126,none
mdp.39015063934734,none
mdp.39015065434279,none
mdp.39015063924792,none
mdp.39015021270171,none
nyp.33433082293808,none
mdp.39015054488864,none
mdp.39015063891330,none
mdp.39015063891322,none
mdp.39015030155173,none
mdp.39015067196850,none
mdp.39015067196843,none
mdp.39015039330488,none
mdp.39015063921020,none
mdp.39015063920998,none
mdp.39015063923125,none
mdp.39015063941945,none
mdp.39015035528622,none
mdp.39015039343259,none
mdp.39015035528630,none
mdp.39015030542362,none
mdp.39015063562550,none
mdp.39015063936762,none
mdp.39015039644995,none
mdp.39015063937331,none
mdp.39015063937323,none
mdp.39015063937315,none
mdp.39015063947603,none
mdp.39015011404822,none
uc1.b3548614,none
mdp.39015011404863,none
mdp.39015047783124,none
mdp.39015013731008,none
mdp.39015047783157,none
mdp.39015011404830,none
mdp.39015065766282,none
mdp.39015063941010,none
mdp.39015065441217,none
mdp.39015063974136,none
mdp.39015025919393,none
mdp.39015063535598,none
nyp.33433076069859,none
mdp.39015063933264,none
mdp.39015063974193,none
mdp.39015062692184,none
mdp.39015023532867,none
mdp.39015063513991,none
mdp.39015063941044,none
mdp.39015063525508,none
mdp.39015063936267,none
mdp.39015063936275,none
mdp.39015020915883,none
uva.x000421951,none
mdp.39015059774995,none
mdp.39015063942216,none
nyp.33433076069560,none
nyp.33433074964549,none
mdp.39015063942224,none
mdp.39015063941937,none
mdp.39015024451711,none
mdp.39015063946811,none
nyp.33433074964986,none
nyp.33433076073984,none
nyp.33433076069487,none
mdp.39015063964277,none
mdp.39015063926052,none
mdp.39015063942232,none
mdp.39015063955705,none
mdp.39015063955713,none
mdp.39015063955416,none
mdp.39015063952272,none
mdp.39015010790031,none
mdp.39015065553268,none
mdp.39015027010035,none
mdp.39015063952207,none
mdp.39015063953080,none
uc1.b4104245,none
mdp.39015068405433,none
mdp.39015005010627,none
mdp.39015063955630,none
mdp.39015022372695,none
mdp.39015011390856,none
nyp.33433076046741,none
nyp.33433076062052,none
mdp.39015001613390,none
mdp.39015063986403,none
mdp.39015006999992,none
nyp.33433074806393,none
nyp.33433076043995,none
nyp.33433076044001,none
mdp.39015013759116,none
mdp.39015063975562,none
mdp.39015063975406,none
mdp.39015063952595,none
mdp.39015063984143,none
mdp.39015063984127,none
mdp.39015039315539,none
mdp.39015013165942,none
mdp.39015063952702,none
mdp.39015063952694,none
nyp.33433075772644,none
mdp.39015035798670,none
mdp.39015063973765,none
mdp.39015039415073,none
mdp.39015067084593,none
mdp.39015063930500,none
nyp.33433076094576,none
mdp.39015063975166,none
nyp.33433076063118,none
nyp.33433076063050,none
mdp.39015009242093,none
mdp.39015021303188,none
mdp.39015063917283,none
mdp.39015063917267,none
mdp.39015063549151,none
uc1.b4093264,none
mdp.39015063975174,none
mdp.39015063548534,none
mdp.39015059457419,none
nyp.33433074855002,none
nyp.33433074854526,none
njp.32101063691180,none
uc1.b3322088,none
njp.32101063691156,none
njp.32101063691149,none
mdp.39015020087154,none
mdp.39015013162543,none
uc1.b4386725,none
mdp.39015063976669,none
mdp.39015063916749,none
mdp.39015059481393,none
mdp.39015026671647,none
mdp.39015012066273,none
mdp.39015017638886,none
mdp.39015063884095,none
mdp.39015005904258,none
mdp.39015027016578,none
mdp.39015058515126,none
wu.89054433867,none
uc1.32106001464517,none
mdp.39015055305471,none
mdp.39015001790107,none
mdp.39015066992135,none
mdp.39015005213262,none
inu.30000054472703,none
mdp.39015008594338,none
mdp.39015063885001,none
mdp.39015066053730,none
mdp.39015063915733,none
mdp.39015000608102,none
wu.89098869431,none
mdp.39015030842358,none
nyp.33433074947825,none
nyp.33433082251855,none
uc1.$b799745,none
uc1.b4095340,none
mdp.39015031229993,none
mdp.39015012435916,none
mdp.39015003346916,none
mdp.39015002725698,none
mdp.39015002725490,none
mdp.39015030738333,none
mdp.39015003346908,none
mdp.39015003684043,none
mdp.39015003928390,none
mdp.39015003928952,none
mdp.39015059377823,none
uva.x030809991,none
mdp.39015005111680,none
uc1.b3136556,none
mdp.39015003930099,none
uc1.$b794776,none
mdp.39015003675041,none
uc1.b3578397,none
mdp.39015003940999,none
mdp.39015016442835,none
mdp.39015004315183,none
mdp.39015030746468,none
nyp.33433076067382,none
mdp.39015030746484,none
mdp.39015003686873,none
mdp.39015066063986,none
nyp.33433074954771,none
mdp.39015013497311,none
mdp.39015063613379,none
nyp.33433081573499,none
mdp.39015065612387,none
mdp.39015020217579,none
mdp.39015063949997,none
mdp.39015013766814,none
mdp.39015065815659,none
mdp.39015063952926,none
mdp.39015063964426,none
mdp.39015013157121,none
mdp.39015013717221,none
uc1.32106006034810,none
mdp.39015010310327,none
nyp.33433074837398,none
mdp.39015030855822,none
uc1.b4097883,genre
uc1.b3710967,none
mdp.39015019134918,none
mdp.39015030856929,none
nyp.33433074926514,none
mdp.39015031224101,none
nyp.33433074926548,none
mdp.39015004743947,none
mdp.39015031224077,none
nyp.33433074828108,none
mdp.39015030854338,none
mdp.39015001664369,none
uc1.b3875169,none
mdp.39015031224549,none
mdp.39015051322793,none
mdp.39015031225173,none
nyp.33433074914528,none
mdp.39015025130165,none
nyp.33433074926472,none
uc1.b4110034,none
mdp.39015003679845,none
nyp.33433074855309,none
mdp.39015003679944,none
nyp.33433074855432,none
nyp.33433082485560,none
nyp.33433074855234,none
mdp.39015003681346,none
mdp.39015004288265,none
nyp.33433076087026,none
mdp.39015003680322,none
mdp.39015039215283,none
mdp.39015031237897,none
mdp.39015003930230,none
nyp.33433044057341,none
mdp.39015013318210,none
mdp.39015031238341,none
mdp.39015003929695,none
uc1.b4445912,none
nyp.33433076082266,none
uc1.b4104015,none
mdp.39015031237640,none
nyp.33433076065436,none
mdp.39015030750544,none
mdp.39015030750569,none
uc1.b3322751,none
mdp.39015063615457,none
mdp.39015063971389,none
nyp.33433081555546,none
wu.89100003797,none
nyp.33433082478987,none
nyp.33433082326566,none
mdp.39015067331150,none
mdp.39015027914483,none
mdp.39015063877776,none
mdp.39015051363185,none
uc1.$b744765,none
mdp.39015063992153,none
mdp.39015020923200,none
nyp.33433082486147,none
mdp.39015063992211,none
mdp.39015063992120,none
mdp.39015030175445,none
wu.89100103878,none
mdp.39015030668597,none
mdp.39015063972247,none
mdp.39015011441774,none
mdp.39015073237003,none
mdp.39015023953857,none
nyp.33433074818430,none
nyp.33433074892880,none
nyp.33433074892716,none
mdp.39015063935186,none
mdp.39015063935194,none
mdp.39015063923604,none
mdp.39015023144812,none
mdp.39015063935210,none
mdp.39015063935244,none
mdp.39015063543030,none
mdp.39015063944980,none
nyp.33433076088669,none
mdp.39015039671816,none
mdp.39015063945235,none
mdp.39015063946746,none
mdp.39015000595671,none
mdp.39015063945276,none
nyp.33433076054026,none
mdp.39015063980422,none
mdp.39015063919321,none
uva.x030833057,none
nyp.33433074785357,none
mdp.39015063998309,none
mdp.39015063550324,none
nyp.33433081638201,none
nyp.33433076088081,none
mdp.39015063946084,none
mdp.39015063550183,none
mdp.39015022733789,none
mdp.39015056725909,none
mdp.39015063946068,none
mdp.39015063932068,none
nyp.33433074870639,none
mdp.39015012337849,none
mdp.39015063931870,none
mdp.39015063931730,none
nyp.33433076076318,none
mdp.39015063931888,none
mdp.39015021100931,none
mdp.39015063923307,none
mdp.39015063513967,none
mdp.39015063931581,none
mdp.39015047760064,none
mdp.39015063945037,none
mdp.39015063945029,none
mdp.39015003696658,none
mdp.39015063923877,none
nyp.33433076065006,none
mdp.39015063612850,none
mdp.39015063890977,none
mdp.39015015358206,none
mdp.39015015358214,none
mdp.39015030735255,none
mdp.39015015358222,none
nyp.33433074926647,none
nyp.33433074926670,none
mdp.39015031332862,none
mdp.39015002170317,none
mdp.39015063541158,none
nyp.33433074939582,none
njp.32101066455336,none
mdp.39015030947165,none
nyp.33433070246917,none
mdp.39015051348905,none
nyp.33433074940754,none
mdp.39015039530764,none
nyp.33433068195811,none
mdp.39015063540861,none
mdp.39015059521297,none
mdp.39015035069544,none
mdp.39015016435789,none
nyp.33433082373386,none
mdp.39015063588324,none
mdp.39015063588506,none
mdp.39015030750635,none
mdp.39015013398220,none
nyp.33433074869326,none
mdp.39015031325825,none
mdp.39015031234027,none
mdp.39015031325908,none
mdp.39015005295855,none
mdp.39015051169236,none
nyp.33433076087596,none
mdp.39015063939535,none
mdp.39015063939568,none
mdp.39015046801612,none
mdp.39015031325791,none
mdp.39015015407326,none
nyp.33433074861505,none
mdp.39015065985601,none
nyp.33433076011901,none
uc1.b3579111,none
nyp.33433076082365,none
mdp.39015014430782,none
mdp.39015018061583,none
nyp.33433074850326,none
mdp.39015047616555,none
mdp.39015031228524,none
mdp.39015031228730,none
mdp.39015031228722,none
mdp.39015048709714,none
mdp.39015055134723,none
mdp.39015063615952,none
mdp.39015030320330,none
mdp.39015036636739,none
mdp.39015063615911,none
wu.89100102912,none
mdp.39015050676413,none
mdp.39015063972171,none
uc1.b4079156,none
mdp.39015063992146,none
mdp.39015063623758,none
mdp.39015063625233,none
mdp.39015063625068,none
nyp.33433082326657,none
mdp.39015013167088,none
mdp.39015055146057,none
mdp.39015063623832,none
wu.89100063510,none
mdp.39015005501542,none
mdp.39015000638018,none
mdp.39015000636665,none
nyp.33433074872833,none
mdp.39015000630205,none
njp.32101019498243,none
mdp.39015007071916,none
mdp.39015048887064,none
mdp.39015065985627,none
mdp.39015030704350,none
mdp.39015004101666,none
mdp.39015008877360,none
mdp.39015001548216,none
mdp.39015000641699,none
uc1.b3581521,none
nyp.33433074811716,none
mdp.39015016440730,none
mdp.39015010695024,none
mdp.39015031231601,none
nyp.33433074904768,none
mdp.39015031231585,none
mdp.39015031231544,none
nyp.33433022846897,none
mdp.39015030755501,none
mdp.39015013152593,none
mdp.39015003932392,none
mdp.39015003932418,none
mdp.39015070219186,none
uva.x001726227,none
mdp.39015026118334,none
uva.x000683571,none
mdp.39015026121015,none
uc1.b3811234,none
mdp.39015063541562,none
mdp.39015051364886,none
mdp.39015059791684,none
mdp.39015004946813,none
mdp.39015014497054,none
mdp.39015002311556,none
mdp.39015014749728,none
mdp.39015051144932,none
mdp.39015032034285,none
nyp.33433082485339,none
mdp.39015010447350,none
uc1.b3710724,none
uc1.b3710727,none
nyp.33433076070022,none
mdp.39015065434287,none
mdp.39015034788979,none
mdp.39015063955481,none
nyp.33433076058340,none
mdp.39015033828966,none
mdp.39015051375734,none
mdp.39015051375353,none
mdp.39015051382383,none
mdp.39015012102995,none
mdp.39015037392050,none
mdp.39015030735776,none
mdp.39015013395200,none
mdp.39015048691235,none
uc1.b3687273,none
mdp.39015003659078,none
mdp.39015008779871,none
mdp.39015037233973,none
mdp.39015011545855,none
mdp.39015014615408,none
mdp.39015000636400,none
mdp.39015017673990,none
mdp.39015009178263,none
nyp.33433076076094,genre
mdp.39015004287747,none
nyp.33433076076177,none
nyp.33433074789896,none
mdp.39015008930664,none
mdp.39015021949915,none
wu.89054434782,none
nyp.33433074875893,none
nyp.33433074896048,none
nyp.33433076024292,none
mdp.39015063562428,none
uc1.b4102260,none
mdp.39015001553547,genre
mdp.39015004287739,none
uc1.b4102220,none
mdp.39015031241543,none
mdp.39015031241493,none
mdp.39015019962144,none
mdp.39015013443166,none
mdp.39015036671884,none
mdp.39015018601735,none
mdp.39015030704814,none
nyp.33433008141636,none
mdp.39015063935053,none
nyp.33433076051782,none
mdp.39015014498854,none
mdp.39015026729890,none
nyp.33433074865746,none
nyp.33433074904743,none
mdp.39015063932456,none
uc1.b3688438,none
mdp.39015026131741,none
mdp.39015064437695,none
mdp.39015008897079,none
uc1.b4102274,none
nyp.33433082335971,none
mdp.39015031221941,none
nyp.33433074842166,none
nyp.33433074842117,genre
mdp.39015031222022,none
mdp.39015048717386,none
wu.89007949126,none
mdp.39015055685336,none
mdp.39015031221909,none
mdp.39015028027517,none
mdp.39015010392929,none
mdp.39015063512498,none
nyp.33433082520978,none
mdp.39015030734266,none
nyp.33433074944400,none
mdp.39015011819011,none
mdp.39015030741246,none
mdp.39015031241394,none
mdp.39015030709318,none
uc1.b3711023,none
mdp.39015064467346,none
uc1.b3334284,none
mdp.39015066057251,none
mdp.39015039610442,none
nyp.33433074901962,none
uc1.b3331945,none
mdp.39015008607940,none
mdp.39015002718164,none
mdp.39015064489340,none
mdp.39015059435928,none
wu.89099954638,none
mdp.39015038676428,none
mdp.39015062387199,none
mdp.39015011955427,none
mdp.39015010964354,none
mdp.39015002750597,none
mdp.39015005021582,none
mdp.39015073391370,none
mdp.39015032994934,none
mdp.39015068647935,none
mdp.39015059433253,none
nyp.33433081800470,none
mdp.39015040601174,none
mdp.39015021321701,genre
mdp.39015035025173,none
mdp.39015059376353,none
nyp.33433076090822,none
mdp.39015035837965,none
mdp.39015063976263,none
nyp.33433076087042,none
mdp.39015063549797,none
mdp.39015063976073,none
mdp.39015013152577,none
mdp.39015065437892,none
nyp.33433076089923,none
mdp.39015013152627,none
mdp.39015063949187,none
mdp.39015059774839,none
mdp.39015063928066,genre
mdp.39015016781281,none
mdp.39015063920394,none
mdp.39015005912996,none
nyp.33433074855440,none
uc1.b3688157,none
mdp.39015063927910,none
mdp.39015048454642,none
mdp.39015020221209,none
mdp.39015063986015,none
mdp.39015063956414,none
mdp.39015016749262,none
nyp.33433075761134,none
mdp.39015063918448,none
mdp.39015020232768,none
uc1.b4104569,none
mdp.39015063918497,none
mdp.39015063918315,none
mdp.39015063554565,none
mdp.39015068355521,none
mdp.39015013466845,none
mdp.39015063920618,none
mdp.39015035818965,none
nyp.33433076072374,none
mdp.39015063964509,none
nyp.33433076026164,none
nyp.33433076026123,none
uc1.b3326107,none
mdp.39015055286473,none
mdp.39015063927381,none
mdp.39015013787968,none
mdp.39015063955077,none
nyp.33433075751648,none
mdp.39015063955168,none
mdp.39015022391133,none
mdp.39015010952003,none
mdp.39015002185711,none
mdp.39015021071942,none
mdp.39015063979374,none
mdp.39015062318186,none
mdp.39015013735850,none
mdp.39015024215280,none
mdp.39015067207657,none
mdp.39015063975489,none
mdp.39015063975729,none
nyp.33433074964085,none
mdp.39015023132619,none
mdp.39015050937476,none
nyp.33433082485651,none
mdp.39015063960325,none
uc1.b3326052,none
mdp.39015063964483,none
mdp.39015063914660,none
nyp.33433076026206,none
mdp.39015020232743,none
mdp.39015063962784,none
mdp.39015063977006,none
mdp.39015063959962,none
mdp.39015063943057,none
mdp.39015028006230,none
mdp.39015062198174,none
mdp.39015039330124,none
nyp.33433075762215,none
mdp.39015063977030,none
nyp.33433079891085,none
uc1.b3553081,none
mdp.39015016781299,none
mdp.39015014823762,none
nyp.33433076056815,none
uc1.b3325227,none
nyp.33433075763908,none
mdp.39015030913548,none
mdp.39015063959624,none
mdp.39015060431924,genre
mdp.39015014133923,none
mdp.39015063959533,none
mdp.39015013138352,none
mdp.39015063973229,none
mdp.39015031312997,none
mdp.39015020087378,none
mdp.39015063972619,none
mdp.39015004704196,none
mdp.39015063963287,none
mdp.39015063963121,none
uc1.32106000740347,none
mdp.39015010205170,none
mdp.39015030855418,none
mdp.39015010553199,none
uc1.$b744774,none
nyp.33433076071665,none
mdp.39015030699857,none
mdp.39015004043298,none
mdp.39015038669662,none
mdp.39015065370176,none
mdp.39015030719143,none
mdp.39015020219161,none
njp.32101066120872,none
uc1.32106002092556,none
mdp.39015030719226,none
mdp.39015063548419,none
mdp.39015056877106,none
mdp.39015031308540,none
