docid,volid,recordid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
8096,nyp.33433076096480,,"Lytton, Edward Bulwer Lytton,",,1849,,m,v. 1,The Caxtons
8096,nyp.33433076096472,,"Lytton, Edward Bulwer Lytton,",,1849,,m,v. 2,The Caxtons
8291,nyp.33433074938923,,"Lytton, Edward Bulwer Lytton,",,1829,,m,v. 1,Devereux
8291,nyp.33433074938949,,"Lytton, Edward Bulwer Lytton,",,1829,,m,v. 3,Devereux
8653,hvd.hwkqxv,,"Lytton, Edward Bulwer Lytton,",,1830,,m,<blank>,Falkland
8673,mdp.39015063932514,,"Lytton, Edward Bulwer Lytton,",,1836,,m,<blank>,"Chairolas, prince of Paida"
8675,nyp.33433074939004,,"Lytton, Edward Bulwer Lytton,",,1837,,m,v. 1,Ernest Maltravers
8675,nyp.33433074939012,,"Lytton, Edward Bulwer Lytton,",,1837,,m,v. 2,Ernest Maltravers
8692,nyp.33433074937784,,"Lytton, Edward Bulwer Lytton,",,1835,,m,v. 1-2,Last days of Pompeii
8730,nyp.33433074938832,,"Lytton, Edward Bulwer Lytton,",,1838,,m,<blank>,"Alice, or, The mysteries"
8733,nyp.33433074938816,,"Lytton, Edward Bulwer Lytton,",,1838,,m,v. 2,Alice;
8733,nyp.33433074938824,,"Lytton, Edward Bulwer Lytton,",,1838,,m,v. 3,Alice;
9715,uc2.ark+=13960=t7tm7472s,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.01,Novels of Sir Edward Bulwer Lytton
9716,uc2.ark+=13960=t15m64303,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.02,Novels of Sir Edward Bulwer Lytton
9717,uc2.ark+=13960=t3416w007,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.03,Novels of Sir Edward Bulwer Lytton
9718,uc2.ark+=13960=t78s4mx7k,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.04,Novels of Sir Edward Bulwer Lytton
9719,uc2.ark+=13960=t44q7sn21,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.05,Novels of Sir Edward Bulwer Lytton
9720,uc2.ark+=13960=t0ft8g581,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.06,Novels of Sir Edward Bulwer Lytton
9721,uc2.ark+=13960=t8sb40745,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.11,Novels of Sir Edward Bulwer Lytton
9722,uc2.ark+=13960=t9g44kz60,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.12,Novels of Sir Edward Bulwer Lytton
9723,uc2.ark+=13960=t7qn61j6j,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.13,Novels of Sir Edward Bulwer Lytton
9724,uc2.ark+=13960=t6057g070,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.15,Novels of Sir Edward Bulwer Lytton
9725,uc2.ark+=13960=t6h12x84w,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.16,Novels of Sir Edward Bulwer Lytton
9726,uc2.ark+=13960=t3707zj06,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.18,Novels of Sir Edward Bulwer Lytton
9727,uc2.ark+=13960=t4zg6j65d,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.19,Novels of Sir Edward Bulwer Lytton
9728,uc2.ark+=13960=t3dz0512g,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.22,Novels of Sir Edward Bulwer Lytton
9729,uc2.ark+=13960=t23b5z64t,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.23,Novels of Sir Edward Bulwer Lytton
9730,uc2.ark+=13960=t2j67bt3c,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.24,Novels of Sir Edward Bulwer Lytton
9731,uc2.ark+=13960=t16m34v61,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.25,Novels of Sir Edward Bulwer Lytton
9732,uc2.ark+=13960=t80k28q48,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.27,Novels of Sir Edward Bulwer Lytton
9733,uc2.ark+=13960=t9p26sg64,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.28,Novels of Sir Edward Bulwer Lytton
9734,uc2.ark+=13960=t5fb4zq43,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.29,Novels of Sir Edward Bulwer Lytton
9735,uc2.ark+=13960=t2t43kz2v,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.30,Novels of Sir Edward Bulwer Lytton
9736,uc2.ark+=13960=t0ms3ms44,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.31,Novels of Sir Edward Bulwer Lytton
9737,uc2.ark+=13960=t8ff3p96v,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.32,Novels of Sir Edward Bulwer Lytton
9738,uc2.ark+=13960=t5db7xv1v,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.33,Novels of Sir Edward Bulwer Lytton
9739,uc2.ark+=13960=t41r6q39f,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.34,Novels of Sir Edward Bulwer Lytton
9740,uc2.ark+=13960=t0tq5t49f,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.35,Novels of Sir Edward Bulwer Lytton
9741,uc2.ark+=13960=t9j38nw38,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.36,Novels of Sir Edward Bulwer Lytton
9742,uc2.ark+=13960=t0pr7pk1m,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.37,Novels of Sir Edward Bulwer Lytton
9743,uc2.ark+=13960=t3028rd57,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.38,Novels of Sir Edward Bulwer Lytton
9744,uc2.ark+=13960=t45q4tn90,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.39,Novels of Sir Edward Bulwer Lytton
9745,uc2.ark+=13960=t4mk67860,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.40,Novels of Sir Edward Bulwer Lytton
9746,uc2.ark+=13960=t4gm83q23,,"Lytton, Edward Bulwer Lytton,",,1859,,m,v.41,Novels of Sir Edward Bulwer Lytton
10273,uc1.b3328946,,"Lytton, Edward Bulwer Lytton,",,1892,,m,v.1,The last of the barons
10603,uiuo.ark+=13960=t08w3xn6z,,"Lytton, Edward Bulwer Lytton,",,1837,,m,v.3,Ernest Maltravers
10864,hvd.hn66zt,,"Lytton, Edward Bulwer Lytton,",,1834,,f,<blank>,The pilgrims of the Rhine
11581,uva.x030825609,,"Lytton, Edward Bulwer Lytton,",,1862,,m,v.28,The disowned
11581,uva.x030825610,,"Lytton, Edward Bulwer Lytton,",,1862,,m,v.29,The disowned
11582,uva.x030825705,,"Lytton, Edward Bulwer Lytton,",,1861,,m,v.18,The last of the barons
11969,nyp.33433074937891,,"Lytton, Edward Bulwer Lytton,",,1883,,m,v. 1-2,Paul Clifford
11972,nyp.33433074938139,,"Lytton, Edward Bulwer Lytton,",,1895,,m,v. 1-2,What will he do with it?
12715,nyp.33433074938055,,"Lytton, Edward Bulwer Lytton,",,1828,,m,v. 1,"Pelham, or, The adventures of a gentleman"
12722,nyp.33433074938998,,"Lytton, Edward Bulwer Lytton,",,1883,,m,v. 1-2,The disowned
12742,uc1.b3581488,,"Lytton, Edward Bulwer Lytton,",,1891,,m,v.1,The last days of Pompeii
12742,uc1.b3581489,,"Lytton, Edward Bulwer Lytton,",,1891,,m,v.2,The last days of Pompeii
12862,nyp.33433074938873,,"Lytton, Edward Bulwer Lytton,",,1829,,m,v. 2,Devereux
13319,nyp.33433074937834,,"Lytton, Edward Bulwer Lytton,",,1851,,m,v. 1,My novel
13319,nyp.33433082229604,,"Lytton, Edward Bulwer Lytton,",,1851,,m,v. 2,My novel
13319,nyp.33433082229612,,"Lytton, Edward Bulwer Lytton,",,1851,,m,v. 3,My novel
13319,nyp.33433082229877,,"Lytton, Edward Bulwer Lytton,",,1851,,m,v. 4,My novel
13693,uc2.ark+=13960=t03x85708,,"Lytton, Edward Bulwer Lytton,",,1829,,m,v.001,The disowned
13693,uc2.ark+=13960=t3hx17h9x,,"Lytton, Edward Bulwer Lytton,",,1829,,m,v.002,The disowned
13693,uc2.ark+=13960=t2v40mp0w,,"Lytton, Edward Bulwer Lytton,",,1829,,m,v.003,The disowned
13693,uiuo.ark+=13960=t9183t92d,,"Lytton, Edward Bulwer Lytton,",,1829,,m,v.4,The disowned
13713,mdp.39076005013789,,"Lytton, Edward Bulwer Lytton,",,1840,,m,v.1,Bulwer's novels
13714,mdp.39076005013813,,"Lytton, Edward Bulwer Lytton,",,1840,,m,v.4,Bulwer's novels
13715,mdp.39076005013821,,"Lytton, Edward Bulwer Lytton,",,1840,,m,v.5,Bulwer's novels
13716,mdp.39076005013839,,"Lytton, Edward Bulwer Lytton,",,1840,,m,v.6,Bulwer's novels
14084,hvd.hweccr,,"Lytton, Edward Bulwer Lytton,",,1833,,m,v.1,"Godolphin, or, The oath"
14084,hvd.hweccs,,"Lytton, Edward Bulwer Lytton,",,1833,,m,v.2,"Godolphin, or, The oath"
14084,hvd.hweedm,,"Lytton, Edward Bulwer Lytton,",,1833,,m,v.3,"Godolphin, or, The oath"
14236,uc1.b250112,,"Lytton, Edward Bulwer Lytton,",,1860,,m,v.1,What will he do with it?
14236,uc1.b250113,,"Lytton, Edward Bulwer Lytton,",,1860,,m,v. 2,What will he do with it?
14236,uc1.b250114,,"Lytton, Edward Bulwer Lytton,",,1860,,m,v. 3,What will he do with it?
14312,uc2.ark+=13960=t9h41mt6s,,"Lytton, Edward Bulwer Lytton,",,1835,,m,v.001,Rienzi
14312,uc2.ark+=13960=t1bk18c52,,"Lytton, Edward Bulwer Lytton,",,1835,,m,v.002,Rienzi
14312,uc2.ark+=13960=t2p55g671,,"Lytton, Edward Bulwer Lytton,",,1835,,m,v.003,Rienzi
15012,uc1.b3325460,,"Lytton, Edward Bulwer Lytton,",,1873,,m,v.1,The Parisians
15012,uc1.b3325461,,"Lytton, Edward Bulwer Lytton,",,1873,,m,v. 2,The Parisians
15012,uc1.b3325462,,"Lytton, Edward Bulwer Lytton,",,1873,,m,v. 3,The Parisians
15012,uc1.b3325463,,"Lytton, Edward Bulwer Lytton,",,1873,,m,v. 4,The Parisians
2844,nyp.33433074972419,,"Lincoln, Jeanie Gould,",,1896,,f,<blank>,A genuine girl
3584,uc2.ark+=13960=t57d2tc41,,"Lincoln, Jeanie Thomas Gould,",,1872,,f,<blank>,Marjorie's quest
7189,nyp.33433074787692,,"Lincoln, Jeanie Gould,",,1884,,f,<blank>,Her Washington season
9482,nyp.33433074787619,,"Lincoln, Jeanie Thomas Gould,",,1899,,f,<blank>,A pretty tory;
9488,njp.32101068141959,,"Lincoln, Jeanie Thomas Gould,",,1897,,f,<blank>,An unwilling maid;
1280,nnc1.1002206048,,"Stretton, Julia Cecilia,",,1864,,f,<blank>,Margaret and her bridesmaids
12119,nyp.33433075753198,,"Stretton, Julia Cecilia,",,1867,,f,<blank>,The queen of the county
14435,uiuo.ark+=13960=t6834fr6m,,"Stretton, Julia Cecilia,",,1860,,f,v.1,The valley of a hundred fires
14435,nyp.33433075753537,,"Stretton, Julia Cecilia,",,1860,,f,v. 2,The valley of a hundred fires
14435,nyp.33433075753529,,"Stretton, Julia Cecilia,",,1860,,f,v. 3,The valley of a hundred fires
15042,uiuo.ark+=13960=t3qv45p5q,,"Stretton, Julia Cecilia Collinson,",,1862,,f,v.1,The ladies of Lovel-Leigh
15042,uiuo.ark+=13960=t06x00p8s,,"Stretton, Julia Cecilia Collinson,",,1862,,f,v.2,The ladies of Lovel-Leigh
15042,uiuo.ark+=13960=t9x06rb2g,,"Stretton, Julia Cecilia Collinson,",,1862,,f,v.3,The ladies of Lovel-Leigh
2025,nyp.33433008142055,,"Balfour, Clara Lucas,",,1861,,f,<blank>,Drift
3778,wu.89098868128,,"Balfour, Clara Lucas,",,1865,,f,<blank>,Toil and trust
5031,uc2.ark+=13960=t3hx17t4j,,"Balfour, Clara Lucas Liddell,",,1877,,f,<blank>,Women worth emulating
247,uc1.b119825,,"St. Leger, Barry,",,1824,,m,<blank>,"Some account of the life of the late Gilbert Earle, esq"
2244,uiuo.ark+=13960=t6g16mk0g,,"St. Leger, Barry,",,1826,,m,v.1,Mr. Blount's mss.;
2244,uiuo.ark+=13960=t1tf0f532,,"St. Leger, Barry,",,1826,,m,v.2,Mr. Blount's mss.;
14050,mdp.39015065444443,,"[St. Leger, Francis Barry Boyle]",,1829,,m,v.1,Tales of passion
14050,mdp.39015065444294,,"[St. Leger, Francis Barry Boyle]",,1829,,m,v.2,Tales of passion
14050,mdp.39015065444286,,"[St. Leger, Francis Barry Boyle]",,1829,,m,v.3,Tales of passion
2572,uc2.ark+=13960=t1dj59651,,"Stowe, Harriet Beecher,",,1853,,f,<blank>,Uncle Sam's emancipation
3215,uc1.b3325154,,"Stowe, Mrs. Harriet Elizabeth (Beecher)",,1876,,f,<blank>,Betty's bright idea
3628,mdp.39015004956218,,"Stowe, Harriet Beecher,",,1816,,f,<blank>,The Mayflower
4857,nyp.33433076063282,,"Stowe, Harriet Beecher,",,1869,,f,<blank>,The pearl of Orr's island
5603,mdp.39015008364765,,"Stowe, Harriet Beecher,",,1878,,f,<blank>,Poganuc people
5604,mdp.39015004956226,,"Stowe, Harriet Beecher,",,1856,,f,v.1,Dred;
5604,mdp.39015005186146,,"Stowe, Harriet Beecher,",,1856,,f,v.2,Dred;
5759,uc2.ark+=13960=t70v8bp2f,,"Stowe, Harriet Beecher,",,1872,,f,<blank>,"My wife and I, or, Harry Henderson's history"
6426,mdp.39015008502810,,"Stowe, Harriet Beecher,",,1869,,f,<blank>,Oldtown folks
6588,uc1.b158517,,"Stowe, Harriet Beecher,",,1896,,f,<blank>,"Stories, sketches and studies"
7224,mdp.39015005369437,,"Stowe, Harriet Beecher,",,1896,,f,v.1,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7225,mdp.39015002304189,,"Stowe, Harriet Beecher,",,1896,,f,v.2,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7226,uc1.b3470692,,"Stowe, Harriet Beecher,",,1896,,f,v.3,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7227,uc1.b3470694,,"Stowe, Harriet Beecher,",,1896,,f,v.5,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7228,mdp.39015004952803,,"Stowe, Harriet Beecher,",,1896,,f,v.6,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7229,mdp.39015004952811,,"Stowe, Harriet Beecher,",,1896,,f,v.7,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7230,uc1.b3470697,,"Stowe, Harriet Beecher,",,1896,,f,v.9,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7231,mdp.39015008641873,,"Stowe, Harriet Beecher,",,1896,,f,v.10,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7232,mdp.39015004952837,,"Stowe, Harriet Beecher,",,1896,,f,v.11,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7233,mdp.39015004945971,,"Stowe, Harriet Beecher,",,1896,,f,v.12,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7234,mdp.39015004945989,,"Stowe, Harriet Beecher,",,1896,,f,v.13,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7235,uc1.b3470702,,"Stowe, Harriet Beecher,",,1896,,f,v.14,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7236,uc1.b3470704,,"Stowe, Harriet Beecher,",,1896,,f,v.16,"The writings of Harriet Beecher Stowe, with biographical introductions, portraits, and other illustrations"
7628,mdp.49015002377068,,"Stowe, Harriet Beecher,",,1859,,f,<blank>,The minister's wooing
7694,mdp.39015004956234,,"Stowe, Harriet Beecher,",,1852,,f,v.1 1852,"Uncle Tom's cabin, or, Life among the lowly"
9944,njp.32101068604345,,"Stowe, Harriet Beecher,",,1870,,f,<blank>,Little Pussy Willow
10454,njp.32101068604311,,"Stowe, Harriet Beecher,",,1868,,f,<blank>,Queer little people
10568,mdp.39015065788757,,"Stowe, Harriet Beecher",,1862,,f,<blank>,Agnes of Sorrento
11707,nyp.33433076086440,,"Stowe, Harriet Beecher,",,1852,,f,v. 1,"Uncle Tom's cabin; or, Life among the lowly"
6480,nyp.33433082521190,,"Charlesworth, Maria Louisa,",,1855,,f,<blank>,Ministering children
9000,nyp.33433074970702,,"Charlesworth, Maria Louisa,",,1864,,f,<blank>,England's yeomen
12064,uc2.ark+=13960=t52f7mg33,,"[Charlesworth, Maria Louisa, 1819-1880]",,1856,,f,<blank>,Africa's Mountain Valley
2151,nyp.33433076073380,,"Warfield, Catherine Ann",,1873,,f,<blank>,Miriam Monfort
2155,nyp.33433076060767,,"Warfield, Catherine Ann",,1877,,f,<blank>,Ferne Fleming
2156,nyp.33433076060775,,"Warfield, Catherine Ann",,1875,,f,<blank>,Hester Howard's temptation
2585,nyp.33433076061112,,"Warfield, Catherine Ann",,1867,,f,<blank>,The romance of Beauseincourt
7333,nyp.33433076073398,,"Warfield, Catherine Ann",,1876,,f,<blank>,"Lady Ernestine, or, The absent lord of Rocheforte;"
8472,nyp.33433076061021,,"Warfield, Catherine Ann",,1877,,f,<blank>,The cardinals daughter
9549,nyp.33433076061013,,"Warfield, Catherine Ann Ware,",,1875,,f,<blank>,A double wedding;
11504,nyp.33433076060783,,"Warfield, Catherine Ann Ware,",,1860,,f,v. 1,The household of Bouverie
11504,nyp.33433076060791,,"Warfield, Catherine Ann Ware,",,1860,,f,v. 2,The household of Bouverie
1666,uc1.b112777,,"Fleming, May Agnes,",,1875,,f,<blank>,A mad marriage
1980,mdp.39015006987476,,"Fleming, May Agnes,",,1886,,f,<blank>,The queen of the isle
1981,nyp.33433076066012,,"Fleming, May Agnes,",,1879,,f,Copy 1,The heir of Charlton
1982,mdp.39015063943636,,"Fleming, May Agnes,",,1888,,f,<blank>,The midnight queen
1983,mdp.39015063943628,,"Fleming, May Agnes,",,1893,,f,<blank>,Edith Percival
